,ResponseId,accuracy_journalism,change_mind,confidence_suicide,confidence_weight,fda_reg,funding,gender,is_control,is_dailybeast,is_nyt,political_party,prev_rate_belief,prev_weight_belief,rate_of_suicide,weight
0,R_R84qbyJ6pIGzzvb,Mostly accurate,,Mostly sure,Mostly sure,Yes,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
1,R_26eDZeD2FssInJj,Somewhat accurate,,Somewhat sure,A little sure,Yes,Preventing suicide among teenage boys,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
2,R_XuE33PFLikw7rjj,Mostly accurate,,Mostly sure,Somewhat sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
3,R_3IW6KfkyIBC02LW,Somewhat accurate,,A little sure,Somewhat sure,No,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
4,R_2YhwLn3R3aShwyq,A little accurate,,A little sure,Somewhat sure,No,Preventing suicide among teenage girls,Female,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
5,R_Y5oqUUYLOZJtXWx,A little accurate,,A little sure,Mostly sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
6,R_25Bja9tIS4Mz5L6,A little accurate,,Somewhat sure,Somewhat sure,No,Preventing suicide among teenage boys,Male,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
7,R_2QRJtkifSRjDZWR,Somewhat accurate,,Somewhat sure,Extremely sure,No,Preventing suicide among teenage girls,Male,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
8,R_2vdKXjUH2KUvC2t,Somewhat accurate,,Not very sure,Extremely sure,No,Preventing suicide among teenage girls,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
9,R_oYpYZxtKOIb65UZ,Mostly inaccurate,,Extremely sure,Extremely sure,No,Preventing suicide among teenage boys,Male,1,0,0,Libertarian Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
